circuit_name,model,mode,lang,run,pass,fidelity
adv_01_qft3,gpt-5.6-luna,bv,cn,1,True,1.0
adv_01_qft3,gpt-5.6-luna,bv,cn,2,True,1.0
adv_01_qft3,gpt-5.6-luna,bv,cn,3,True,1.0
adv_01_qft3,gpt-5.6-luna,bv,cn,4,True,1.0
adv_01_qft3,gpt-5.6-luna,bv,cn,5,False,0.0
adv_02_grover3,gpt-5.6-luna,bv,cn,1,False,0.5
adv_02_grover3,gpt-5.6-luna,bv,cn,2,True,1.0
adv_02_grover3,gpt-5.6-luna,bv,cn,3,True,1.0
adv_02_grover3,gpt-5.6-luna,bv,cn,4,False,0.0
adv_02_grover3,gpt-5.6-luna,bv,cn,5,False,0.0
adv_03_vqe_ansatz,gpt-5.6-luna,bv,cn,1,True,1.0
adv_03_vqe_ansatz,gpt-5.6-luna,bv,cn,2,True,1.0
adv_03_vqe_ansatz,gpt-5.6-luna,bv,cn,3,False,0.0
adv_03_vqe_ansatz,gpt-5.6-luna,bv,cn,4,True,1.0
adv_03_vqe_ansatz,gpt-5.6-luna,bv,cn,5,True,1.0
adv_04_qaoa,gpt-5.6-luna,bv,cn,1,True,1.0
adv_04_qaoa,gpt-5.6-luna,bv,cn,2,False,0.5
adv_04_qaoa,gpt-5.6-luna,bv,cn,3,True,1.0
adv_04_qaoa,gpt-5.6-luna,bv,cn,4,False,0.0
adv_04_qaoa,gpt-5.6-luna,bv,cn,5,True,1.0
adv_05_qwalk,gpt-5.6-luna,bv,cn,1,True,1.0
adv_05_qwalk,gpt-5.6-luna,bv,cn,2,True,1.0
adv_05_qwalk,gpt-5.6-luna,bv,cn,3,True,1.0
adv_05_qwalk,gpt-5.6-luna,bv,cn,4,False,0.0
adv_05_qwalk,gpt-5.6-luna,bv,cn,5,True,1.0
adv_06_bv,gpt-5.6-luna,bv,cn,1,True,1.0
adv_06_bv,gpt-5.6-luna,bv,cn,2,True,1.0
adv_06_bv,gpt-5.6-luna,bv,cn,3,False,0.0
adv_06_bv,gpt-5.6-luna,bv,cn,4,True,1.0
adv_06_bv,gpt-5.6-luna,bv,cn,5,True,1.0
demo_01_hadamard,gpt-5.6-luna,bv,cn,1,True,1.0
demo_01_hadamard,gpt-5.6-luna,bv,cn,2,True,1.0
demo_01_hadamard,gpt-5.6-luna,bv,cn,3,True,1.0
demo_01_hadamard,gpt-5.6-luna,bv,cn,4,True,1.0
demo_01_hadamard,gpt-5.6-luna,bv,cn,5,True,1.0
demo_02_cnot,gpt-5.6-luna,bv,cn,1,True,1.0
demo_02_cnot,gpt-5.6-luna,bv,cn,2,True,1.0
demo_02_cnot,gpt-5.6-luna,bv,cn,3,True,1.0
demo_02_cnot,gpt-5.6-luna,bv,cn,4,True,1.0
demo_02_cnot,gpt-5.6-luna,bv,cn,5,True,1.0
demo_03_bell,gpt-5.6-luna,bv,cn,1,True,1.0
demo_03_bell,gpt-5.6-luna,bv,cn,2,True,1.0
demo_03_bell,gpt-5.6-luna,bv,cn,3,True,1.0
demo_03_bell,gpt-5.6-luna,bv,cn,4,True,1.0
demo_03_bell,gpt-5.6-luna,bv,cn,5,True,1.0
demo_04_ghz,gpt-5.6-luna,bv,cn,1,True,1.0
demo_04_ghz,gpt-5.6-luna,bv,cn,2,True,1.0
demo_04_ghz,gpt-5.6-luna,bv,cn,3,True,1.0
demo_04_ghz,gpt-5.6-luna,bv,cn,4,True,1.0
demo_04_ghz,gpt-5.6-luna,bv,cn,5,True,1.0
demo_05_toffoli,gpt-5.6-luna,bv,cn,1,True,1.0
demo_05_toffoli,gpt-5.6-luna,bv,cn,2,True,1.0
demo_05_toffoli,gpt-5.6-luna,bv,cn,3,True,1.0
demo_05_toffoli,gpt-5.6-luna,bv,cn,4,True,1.0
demo_05_toffoli,gpt-5.6-luna,bv,cn,5,True,1.0
inter_01_swap_decomp,gpt-5.6-luna,bv,cn,1,True,1.0
inter_01_swap_decomp,gpt-5.6-luna,bv,cn,2,True,1.0
inter_01_swap_decomp,gpt-5.6-luna,bv,cn,3,True,1.0
inter_01_swap_decomp,gpt-5.6-luna,bv,cn,4,True,1.0
inter_01_swap_decomp,gpt-5.6-luna,bv,cn,5,True,1.0
inter_02_qft2,gpt-5.6-luna,bv,cn,1,False,0.0
inter_02_qft2,gpt-5.6-luna,bv,cn,2,True,1.0
inter_02_qft2,gpt-5.6-luna,bv,cn,3,True,1.0
