circuit_name,model,mode,syntax_ok,exec_ok,fidelity,pass,error
A01_single_y,claude-opus-4.6,bv,True,True,1.0,True,
A02_single_s,claude-opus-4.6,bv,True,True,1.0,True,
A03_single_t,claude-opus-4.6,bv,True,True,1.0,True,
A04_single_rx,claude-opus-4.6,bv,True,True,1.0,True,
A05_single_ry,claude-opus-4.6,bv,True,True,1.0,True,
A06_single_rz,claude-opus-4.6,bv,True,True,1.0,True,
A07_sqrt_x,claude-opus-4.6,bv,True,True,1.0,True,
A08_controlled_z,claude-opus-4.6,bv,True,True,1.0,True,
A09_controlled_ry,claude-opus-4.6,bv,True,True,1.0,True,
A10_controlled_rx,claude-opus-4.6,bv,True,True,0.933,False,fidelity=0.9330
A11_ccz,claude-opus-4.6,bv,True,True,0.75,False,fidelity=0.7500
A12_iswap,claude-opus-4.6,bv,True,True,1.0,True,
A13_double_controlled_rz,claude-opus-4.6,bv,True,True,1.0,True,
A14_multi_rotation,claude-opus-4.6,bv,True,True,1.0,True,
A15_global_phase,claude-opus-4.6,bv,True,True,1.0,True,
B01_ghz_4,claude-opus-4.6,bv,True,True,1.0,True,
B02_ghz_5,claude-opus-4.6,bv,True,True,1.0,True,
B03_ghz_6,claude-opus-4.6,bv,True,True,1.0,True,
B04_ghz_8,claude-opus-4.6,bv,True,True,1.0,True,
B05_ghz_10,claude-opus-4.6,bv,False,False,0.0,False,"syntax: expected an indented block after 'for' statement on line 5 (<check>, line 6)"
B06_qft_4,claude-opus-4.6,bv,True,True,1.0,True,
B07_qft_5,claude-opus-4.6,bv,True,True,1.0,True,
B08_linear_entangle_6,claude-opus-4.6,bv,True,True,1.0,True,
B09_ring_entangle_6,claude-opus-4.6,bv,True,True,1.0,True,
B10_ladder_4,claude-opus-4.6,bv,True,True,1.0,True,
B11_full_entangle_4,claude-opus-4.6,bv,True,True,1.0,True,
B12_star_entangle_5,claude-opus-4.6,bv,True,True,1.0,True,
C01_deutsch_jozsa_3,claude-opus-4.6,bv,True,True,1.0,True,
C02_deutsch_jozsa_4,claude-opus-4.6,bv,True,True,1.0,True,
C03_simon_4,claude-opus-4.6,bv,True,True,1.0,True,
C04_grover_4,claude-opus-4.6,bv,True,True,1.0,True,
C05_shor_period_4,claude-opus-4.6,bv,True,True,0.375,False,fidelity=0.3750
C06_qpe_3,claude-opus-4.6,bv,True,True,1.0,True,
C07_qpe_4,claude-opus-4.6,bv,True,True,1.0,True,
C08_hhl_3,claude-opus-4.6,bv,True,False,0.0,False,exec: 'Circuit' object has no attribute 'cry'
C09_swap_test,claude-opus-4.6,bv,True,True,1.0,True,
C10_w_state_3,claude-opus-4.6,bv,True,False,0.0,False,exec: 'Circuit' object has no attribute 'ch'
C11_w_state_4,claude-opus-4.6,bv,True,True,0.1768,False,fidelity=0.1768
C12_amplitude_encode_2,claude-opus-4.6,bv,True,True,1.0,True,
C13_amplitude_encode_3,claude-opus-4.6,bv,True,True,1.0,True,
C14_quantum_adder_4,claude-opus-4.6,bv,True,True,1.0,True,
C15_quantum_fourier_add_4,claude-opus-4.6,bv,True,True,0.7906,False,fidelity=0.7906
D01_hardware_eff_2,claude-opus-4.6,bv,True,True,1.0,True,
D02_hardware_eff_4,claude-opus-4.6,bv,True,True,1.0,True,
D03_uccsd_2,claude-opus-4.6,bv,True,True,1.0,True,
D04_qaoa_2layer,claude-opus-4.6,bv,True,True,0.0199,False,fidelity=0.0199
D05_vqe_ry_linear_4,claude-opus-4.6,bv,True,True,1.0,True,
D06_vqe_ry_circular_4,claude-opus-4.6,bv,True,True,1.0,True,
D07_param_shift_2,claude-opus-4.6,bv,True,True,1.0,True,
D08_data_reuploading_2,claude-opus-4.6,bv,True,True,1.0,True,
D09_alternating_layer_4,claude-opus-4.6,bv,True,True,0.1043,False,fidelity=0.1043
D10_strongly_entangling_3,claude-opus-4.6,bv,True,True,0.5,False,fidelity=0.5000
E01_bit_flip_3,claude-opus-4.6,bv,True,True,1.0,True,
E02_phase_flip_3,claude-opus-4.6,bv,True,True,1.0,True,
E03_shor_9,claude-opus-4.6,bv,True,True,1.0,True,
E04_steane_7_encode,claude-opus-4.6,bv,True,True,0.5,False,fidelity=0.5000
E05_surface_code_patch,claude-opus-4.6,bv,True,True,0.0625,False,fidelity=0.0625
E06_repetition_5,claude-opus-4.6,bv,True,True,1.0,True,
E07_cat_state_5,claude-opus-4.6,bv,True,True,1.0,True,
E08_logical_cnot_6,claude-opus-4.6,bv,True,True,1.0,True,
F01_angle_encoding_4,claude-opus-4.6,bv,True,True,1.0,True,
F02_amplitude_encoding_2,claude-opus-4.6,bv,True,True,1.0,True,
F03_iqp_encoding_4,claude-opus-4.6,bv,True,True,0.5,False,fidelity=0.5000
F04_qnn_layer_4,claude-opus-4.6,bv,True,True,1.0,True,
F05_qcnn_8,claude-opus-4.6,bv,False,False,0.0,False,"syntax: expected an indented block after 'for' statement on line 7 (<check>, line 8)"
F06_quantum_kernel_2,claude-opus-4.6,bv,True,True,1.0,True,
F07_classifier_2,claude-opus-4.6,bv,True,True,1.0,True,
F08_qgan_generator_3,claude-opus-4.6,bv,True,True,1.0,True,
F09_barren_plateau_4,claude-opus-4.6,bv,True,True,0.0499,False,fidelity=0.0499
F10_expressibility_test_3,claude-opus-4.6,bv,True,True,1.0,True,
G01_qkd_e91,claude-opus-4.6,bv,True,True,1.0,True,
G02_quantum_money_3,claude-opus-4.6,bv,True,True,1.0,True,
G03_blind_quantum_4,claude-opus-4.6,bv,True,True,1.0,True,
G04_quantum_voting_5,claude-opus-4.6,bv,True,True,1.0,True,
G05_quantum_auction_4,claude-opus-4.6,bv,True,True,0.75,False,fidelity=0.7500
G06_post_quantum_hash_6,claude-opus-4.6,bv,True,True,1.0,True,
G07_quantum_commitment_3,claude-opus-4.6,bv,True,True,1.0,True,
G08_entanglement_witness_4,claude-opus-4.6,bv,True,True,1.0,True,
H01_bell_barrier,claude-opus-4.6,bv,True,True,1.0,True,
H02_bell_compressed,claude-opus-4.6,bv,True,True,1.0,True,
H03_bell_wide,claude-opus-4.6,bv,True,True,1.0,True,
H04_ghz_reversed_labels,claude-opus-4.6,bv,True,True,1.0,True,
H05_toffoli_decomposed,claude-opus-4.6,bv,True,True,1.0,True,
H06_qft3_no_swap,claude-opus-4.6,bv,True,True,1.0,True,
H07_grover2_combined_oracle,claude-opus-4.6,bv,True,True,1.0,True,
H08_cnot_reversed,claude-opus-4.6,bv,True,True,1.0,True,
H09_param_symbolic,claude-opus-4.6,bv,True,True,1.0,True,
H10_multi_gate_per_step,claude-opus-4.6,bv,True,True,1.0,True,
