lang,model,circuit,run,passed,fidelity,error
cn,claude-haiku-4.5,adv_01_qft3,1,True,1.0,
cn,claude-haiku-4.5,adv_01_qft3,2,False,0.0,exec:'Circuit' object has no attribute 'measu
cn,claude-haiku-4.5,adv_01_qft3,3,False,0.0,exec:'Circuit' object has no attribute 'measu
cn,claude-haiku-4.5,adv_01_qft3,4,True,1.0,
cn,claude-haiku-4.5,adv_01_qft3,5,True,1.0,
cn,claude-haiku-4.5,adv_02_grover3,1,False,0.0,exec:Operator qubit count 2 must be equal to 
cn,claude-haiku-4.5,adv_02_grover3,2,False,0.3125,fid=0.312
cn,claude-haiku-4.5,adv_02_grover3,3,False,0.2652,fid=0.265
cn,claude-haiku-4.5,adv_02_grover3,4,False,0.1875,fid=0.187
cn,claude-haiku-4.5,adv_02_grover3,5,False,0.125,fid=0.125
cn,claude-haiku-4.5,adv_03_vqe_ansatz,1,True,1.0,
cn,claude-haiku-4.5,adv_03_vqe_ansatz,2,True,1.0,
cn,claude-haiku-4.5,adv_03_vqe_ansatz,3,True,1.0,
cn,claude-haiku-4.5,adv_03_vqe_ansatz,4,True,1.0,
cn,claude-haiku-4.5,adv_03_vqe_ansatz,5,True,1.0,
cn,claude-haiku-4.5,adv_04_qaoa,1,False,0.0,fid=0.000
cn,claude-haiku-4.5,adv_04_qaoa,2,False,0.0625,fid=0.062
cn,claude-haiku-4.5,adv_04_qaoa,3,False,0.0884,fid=0.088
cn,claude-haiku-4.5,adv_04_qaoa,4,False,0.0817,fid=0.082
cn,claude-haiku-4.5,adv_04_qaoa,5,False,0.0676,fid=0.068
cn,claude-haiku-4.5,adv_05_qwalk,1,False,0.75,fid=0.750
cn,claude-haiku-4.5,adv_05_qwalk,2,False,0.75,fid=0.750
cn,claude-haiku-4.5,adv_05_qwalk,3,False,0.25,fid=0.250
cn,claude-haiku-4.5,adv_05_qwalk,4,False,0.75,fid=0.750
cn,claude-haiku-4.5,adv_05_qwalk,5,False,0.75,fid=0.750
cn,claude-haiku-4.5,adv_06_bv,1,False,0.5,fid=0.500
cn,claude-haiku-4.5,adv_06_bv,2,False,0.5,fid=0.500
cn,claude-haiku-4.5,adv_06_bv,3,False,0.5,fid=0.500
cn,claude-haiku-4.5,adv_06_bv,4,False,0.25,fid=0.250
cn,claude-haiku-4.5,adv_06_bv,5,False,0.5,fid=0.500
cn,claude-haiku-4.5,demo_01_hadamard,1,True,1.0,
cn,claude-haiku-4.5,demo_01_hadamard,2,False,0.3536,fid=0.354
cn,claude-haiku-4.5,demo_01_hadamard,3,False,0.3536,fid=0.354
cn,claude-haiku-4.5,demo_01_hadamard,4,True,1.0,
cn,claude-haiku-4.5,demo_01_hadamard,5,True,1.0,
cn,claude-haiku-4.5,demo_02_cnot,1,False,0.0,fid=0.000
cn,claude-haiku-4.5,demo_02_cnot,2,True,1.0,
cn,claude-haiku-4.5,demo_02_cnot,3,True,1.0,
cn,claude-haiku-4.5,demo_02_cnot,4,True,1.0,
cn,claude-haiku-4.5,demo_02_cnot,5,True,1.0,
cn,claude-haiku-4.5,demo_03_bell,1,False,0.3536,fid=0.354
cn,claude-haiku-4.5,demo_03_bell,2,True,1.0,
cn,claude-haiku-4.5,demo_03_bell,3,True,1.0,
cn,claude-haiku-4.5,demo_03_bell,4,True,1.0,
cn,claude-haiku-4.5,demo_03_bell,5,True,1.0,
