circuit_name,model,mode,credits,time_seconds,pass,fidelity,error
A01_single_y,claude-haiku-4.5,bv,0.03,3,True,1.0,
A02_single_s,claude-haiku-4.5,bv,0.02,3,True,1.0,
A03_single_t,claude-haiku-4.5,bv,0.02,4,True,1.0,
A04_single_rx,claude-haiku-4.5,bv,0.02,3,True,1.0,
A05_single_ry,claude-haiku-4.5,bv,0.02,3,True,1.0,
A06_single_rz,claude-haiku-4.5,bv,0.02,3,False,0.0,exec: name 'pi' is not defined
A07_sqrt_x,claude-haiku-4.5,bv,0.02,3,False,0.0,exec: 'Circuit' object has no attribute 'sqrt_x'
A08_controlled_z,claude-haiku-4.5,bv,0.02,3,True,1.0,
A09_controlled_ry,claude-haiku-4.5,bv,0.02,2,False,0.4619,fidelity=0.4619
A10_controlled_rx,claude-haiku-4.5,bv,0.02,3,False,0.5,fidelity=0.5000
A11_ccz,claude-haiku-4.5,bv,0.02,3,False,0.0,exec: 'Circuit' object has no attribute 'ccz'
A12_iswap,claude-haiku-4.5,bv,0.02,3,True,1.0,
A13_double_controlled_rz,claude-haiku-4.5,bv,0.03,4,False,0.0,fidelity=0.0000
A14_multi_rotation,claude-haiku-4.5,bv,0.03,3,True,1.0,
A15_global_phase,claude-haiku-4.5,bv,0.02,3,False,0.0,exec: 'Circuit' object has no attribute 't_dagger'
B01_ghz_4,claude-haiku-4.5,bv,0.03,4,True,1.0,
B02_ghz_5,claude-haiku-4.5,bv,0.03,4,True,1.0,
B03_ghz_6,claude-haiku-4.5,bv,0.03,3,True,1.0,
B04_ghz_8,claude-haiku-4.5,bv,0.03,3,True,1.0,
B05_ghz_10,claude-haiku-4.5,bv,0.04,3,False,0.0039,fidelity=0.0039
B06_qft_4,claude-haiku-4.5,bv,0.03,4,False,0.25,fidelity=0.2500
B07_qft_5,claude-haiku-4.5,bv,0.04,4,False,0.0,exec: 'Circuit' object has no attribute 'measure_all'
B08_linear_entangle_6,claude-haiku-4.5,bv,0.03,3,True,1.0,
B09_ring_entangle_6,claude-haiku-4.5,bv,0.03,3,True,1.0,
B10_ladder_4,claude-haiku-4.5,bv,0.03,3,False,0.25,fidelity=0.2500
B11_full_entangle_4,claude-haiku-4.5,bv,0.03,3,True,1.0,
B12_star_entangle_5,claude-haiku-4.5,bv,0.03,3,True,1.0,
C01_deutsch_jozsa_3,claude-haiku-4.5,bv,0.03,4,False,0.25,fidelity=0.2500
C02_deutsch_jozsa_4,claude-haiku-4.5,bv,0.03,3,True,1.0,
C03_simon_4,claude-haiku-4.5,bv,0.03,4,True,1.0,
C04_grover_4,claude-haiku-4.5,bv,0.03,5,False,0.3536,fidelity=0.3536
C05_shor_period_4,claude-haiku-4.5,bv,0.03,4,False,0.0,exec: 'Circuit' object has no attribute 'result'
C06_qpe_3,claude-haiku-4.5,bv,0.03,4,False,0.0,exec: 'Circuit' object has no attribute 'measure_all'
C07_qpe_4,claude-haiku-4.5,bv,0.03,4,False,0.0,exec: 'list' object is not callable
C08_hhl_3,claude-haiku-4.5,bv,0.03,4,False,0.0,exec: 'Circuit' object has no attribute 'p'
C09_swap_test,claude-haiku-4.5,bv,0.02,3,False,0.75,fidelity=0.7500
C10_w_state_3,claude-haiku-4.5,bv,0.03,3,False,0.0,fidelity=0.0000
C11_w_state_4,claude-haiku-4.5,bv,0.03,3,False,0.0,fidelity=0.0000
C12_amplitude_encode_2,claude-haiku-4.5,bv,0.02,2,True,1.0,
C13_amplitude_encode_3,claude-haiku-4.5,bv,0.02,3,True,1.0,
C14_quantum_adder_4,claude-haiku-4.5,bv,0.03,3,False,0.0,exec: 'Circuit' object has no attribute 'cx'
C15_quantum_fourier_add_4,claude-haiku-4.5,bv,0.03,5,False,0.0,fidelity=0.0000
D01_hardware_eff_2,claude-haiku-4.5,bv,0.03,3,True,1.0,
D02_hardware_eff_4,claude-haiku-4.5,bv,0.04,5,False,0.0189,fidelity=0.0189
D03_uccsd_2,claude-haiku-4.5,bv,0.03,3,False,0.9045,fidelity=0.9045
D04_qaoa_2layer,claude-haiku-4.5,bv,0.05,5,False,0.0539,fidelity=0.0539
D05_vqe_ry_linear_4,claude-haiku-4.5,bv,0.03,3,True,1.0,
D06_vqe_ry_circular_4,claude-haiku-4.5,bv,0.03,4,False,0.25,fidelity=0.2500
D07_param_shift_2,claude-haiku-4.5,bv,0.02,3,True,1.0,
D08_data_reuploading_2,claude-haiku-4.5,bv,0.03,4,True,1.0,
D09_alternating_layer_4,claude-haiku-4.5,bv,0.04,4,True,1.0,
D10_strongly_entangling_3,claude-haiku-4.5,bv,0.04,4,False,0.25,fidelity=0.2500
E01_bit_flip_3,claude-haiku-4.5,bv,0.02,3,False,0.5,fidelity=0.5000
E02_phase_flip_3,claude-haiku-4.5,bv,0.02,3,False,0.5,fidelity=0.5000
E03_shor_9,claude-haiku-4.5,bv,0.03,3,False,0.0156,fidelity=0.0156
E04_steane_7_encode,claude-haiku-4.5,bv,0.03,3,False,0.25,fidelity=0.2500
E05_surface_code_patch,claude-haiku-4.5,bv,0.04,4,False,0.0078,fidelity=0.0078
E06_repetition_5,claude-haiku-4.5,bv,0.03,3,False,0.125,fidelity=0.1250
E07_cat_state_5,claude-haiku-4.5,bv,0.03,3,True,1.0,
E08_logical_cnot_6,claude-haiku-4.5,bv,0.03,4,False,0.125,fidelity=0.1250
F01_angle_encoding_4,claude-haiku-4.5,bv,0.03,3,True,1.0,
F02_amplitude_encoding_2,claude-haiku-4.5,bv,0.03,3,True,1.0,
F03_iqp_encoding_4,claude-haiku-4.5,bv,0.03,4,False,0.0625,fidelity=0.0625
F04_qnn_layer_4,claude-haiku-4.5,bv,0.03,4,True,1.0,
F05_qcnn_8,claude-haiku-4.5,bv,0.04,5,False,0.0,exec: 'Circuit' object has no attribute 'cx'
F06_quantum_kernel_2,claude-haiku-4.5,bv,0.03,3,True,1.0,
F07_classifier_2,claude-haiku-4.5,bv,0.03,3,True,1.0,
F08_qgan_generator_3,claude-haiku-4.5,bv,0.03,4,False,0.5954,fidelity=0.5954
F09_barren_plateau_4,claude-haiku-4.5,bv,0.04,5,True,0.9956,
F10_expressibility_test_3,claude-haiku-4.5,bv,0.04,4,False,0.25,fidelity=0.2500
G01_qkd_e91,claude-haiku-4.5,bv,0.03,3,True,1.0,
G02_quantum_money_3,claude-haiku-4.5,bv,0.02,3,True,1.0,
G03_blind_quantum_4,claude-haiku-4.5,bv,0.03,3,False,0.0,exec: XX.xx() missing 1 required positional argument: 'angle'
G04_quantum_voting_5,claude-haiku-4.5,bv,0.03,4,False,0.5,fidelity=0.5000
G05_quantum_auction_4,claude-haiku-4.5,bv,0.03,20,False,0.1575,fidelity=0.1575
G06_post_quantum_hash_6,claude-haiku-4.5,bv,0.04,5,False,0.0929,fidelity=0.0929
G07_quantum_commitment_3,claude-haiku-4.5,bv,0.02,7,True,1.0,
G08_entanglement_witness_4,claude-haiku-4.5,bv,0.03,3,True,1.0,
H01_bell_barrier,claude-haiku-4.5,bv,0.02,3,True,1.0,
H02_bell_compressed,claude-haiku-4.5,bv,0.02,3,True,1.0,
H03_bell_wide,claude-haiku-4.5,bv,0.02,3,True,1.0,
H04_ghz_reversed_labels,claude-haiku-4.5,bv,0.02,5,False,0.5,fidelity=0.5000
H05_toffoli_decomposed,claude-haiku-4.5,bv,0.39,,False,0.0,exec: 'Circuit' object has no attribute 't_dagger'
H06_qft3_no_swap,claude-haiku-4.5,bv,0.03,3,True,1.0,
H07_grover2_combined_oracle,claude-haiku-4.5,bv,0.03,3,False,0.5,fidelity=0.5000
H08_cnot_reversed,claude-haiku-4.5,bv,0.02,3,False,0.3536,fidelity=0.3536
H09_param_symbolic,claude-haiku-4.5,bv,0.02,4,True,1.0,
H10_multi_gate_per_step,claude-haiku-4.5,bv,0.03,3,False,0.25,fidelity=0.2500
I01_shor_ecc_6,claude-haiku-4.5,bv,0.04,5,False,0.0,exec: 'list' object is not callable
I02_grover_sha256_4,claude-haiku-4.5,bv,0.04,5,False,0.0,fidelity=0.0000
I03_grover_aes_5,claude-haiku-4.5,bv,0.04,6,False,0.0,fidelity=0.0000
I04_lamport_sign_4,claude-haiku-4.5,bv,0.03,5,True,1.0,
I05_quantum_random_beacon_6,claude-haiku-4.5,bv,0.03,3,False,0.2261,fidelity=0.2261
